month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
2,0.05405405405405405,0.2727272727272727,0.1111111111111111,female,Secondary education,Cell phones,0,2,0.05,Another,2,1,1
2,0.05405405405405405,0.15151515151515152,0.43055555555555547,male,Higher education,Household appliances,0,2,0.1,Another,3,1,0
2,0.16047297297297297,0.36363636363636365,0.6388888888888888,male,Higher education,Clothing,0,0,0.10500000000000001,Another,3,1,0
2,0.07601351351351351,0.2727272727272727,0.1111111111111111,female,Secondary education,Household appliances,0,2,0.07,Another,0,1,0
2,0.12162162162162163,0.06060606060606061,0.02777777777777779,female,Incomplete higher education,Auto,0,1,0.15000000000000002,Married,1,1,0
2,0.006756756756756757,0.2727272727272727,0.48611111111111105,male,Secondary education,Computers,0,2,0.0425,Another,0,0,0
2,0.010135135135135132,0.4545454545454545,0.06944444444444442,female,Secondary special education,Cell phones,0,2,0.0325,Married,1,1,1
2,0.016891891891891893,0.2727272727272727,0.29166666666666663,male,Higher education,Household appliances,1,2,0.05,Married,0,1,0
2,0.02364864864864865,0.09090909090909091,0.36111111111111105,male,Secondary special education,Furniture,0,2,0.07,Another,1,1,0
2,0.08108108108108109,0.24242424242424246,0.09722222222222221,male,Higher education,Fitness,0,0,0.1375,Married,1,1,0
2,0.033783783783783786,0.030303030303030304,0.02777777777777779,male,Secondary education,Cell phones,0,2,0.022500000000000003,Another,3,0,0
2,0.033783783783783786,0.09090909090909091,0.13888888888888884,male,Higher education,Household appliances,0,2,0.0625,Married,1,0,0
2,0.055743243243243236,0.09090909090909091,0.4722222222222222,male,Secondary special education,Cell phones,1,2,0.022500000000000003,Another,1,0,0
2,0.05067567567567568,0.09090909090909091,0.3055555555555556,female,Secondary special education,Cell phones,1,2,0.08750000000000001,Another,3,1,0
2,0.03209459459459459,0.2727272727272727,0.20833333333333331,female,Secondary special education,Household appliances,1,2,0.0625,Another,0,0,0
2,0.01858108108108108,0.2727272727272727,0.19444444444444442,male,Secondary special education,Cell phones,0,2,0.075,Married,0,1,0
2,0.0912162162162162,0.21212121212121213,0.5416666666666666,male,Higher education,Household appliances,1,0,0.035,Another,2,1,0
2,0.03547297297297297,0.030303030303030304,0.5555555555555555,female,Secondary education,Cell phones,0,0,0.0625,Married,0,1,0
2,0.08614864864864866,0.4545454545454545,0.13888888888888884,male,Higher education,Furniture,1,2,0.05,Married,2,1,0
2,0.13513513513513514,0.4545454545454545,0.41666666666666663,male,Secondary education,Furniture,1,1,0.07,Another,1,0,0
2,0.21621621621621623,0.36363636363636365,0.6388888888888888,female,Higher education,Tourism,0,2,0.0625,Another,1,0,0
2,0.03885135135135135,0.2727272727272727,0.2361111111111111,male,Higher education,Computers,1,2,0.052500000000000005,Married,0,0,0
2,0.03209459459459459,0.030303030303030304,0.611111111111111,male,Secondary special education,Windows & Doors,1,2,0.0375,Another,0,1,0
2,0.10810810810810811,0.21212121212121213,0.20833333333333331,male,Higher education,Clothing,1,0,0.25,Another,1,0,0
2,0.016891891891891893,0.09090909090909091,0.06944444444444442,female,Incomplete higher education,Household appliances,1,2,0.045,Another,0,0,0
2,0.10979729729729731,0.2727272727272727,0.3472222222222222,male,Secondary education,Household appliances,0,2,0.0375,Another,0,0,0
2,0.016891891891891893,0.2727272727272727,0.09722222222222221,male,Secondary special education,Clothing,0,2,0.08750000000000001,Another,1,1,0
2,0.025337837837837836,0.09090909090909091,0.19444444444444442,male,Higher education,Jewelry,1,2,0.055,Another,2,0,0
2,0.05912162162162162,0.2727272727272727,0.1111111111111111,female,Secondary special education,Cell phones,0,2,0.052500000000000005,Another,0,1,1
2,0.47128378378378377,0.36363636363636365,0.38888888888888884,female,Higher education,Construction Materials,0,2,0.2,Another,1,0,0
